site_id,stream_name,utm_zone,easting,northing,target,lab_ids,source,control_blank_field,control_blank_office,control_species_present_field,n_runs,n_sheets,retested,max_pos,max_conc,any_clean,any_crude
125180_ds_ed1,Tributary To Missinka River,10,569661,6053009,BULT,M41353,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,4,0.248410180211067,TRUE,TRUE
125180_ds_ed1,Tributary To Missinka River,10,569661,6053009,GRAY,M41353,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125180_ds_ed1,Tributary To Missinka River,10,569661,6053009,RAIN,M41353,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,330,20.6722354888916,TRUE,TRUE
125180_ds_ed1,Tributary To Missinka River,10,569661,6053009,SOCK,M41353,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125180_us_ed1,Tributary To Missinka River,10,569667,6053040,BULT,M41354,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,3,0.213160902261734,FALSE,TRUE
125180_us_ed1,Tributary To Missinka River,10,569667,6053040,GRAY,M41354,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125180_us_ed1,Tributary To Missinka River,10,569667,6053040,RAIN,M41354,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,293,21.0032024383545,TRUE,TRUE
125180_us_ed1,Tributary To Missinka River,10,569667,6053040,SOCK,M41354,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,0,0,FALSE,FALSE
125194_ds_ed1a,Tributary To Missinka River,10,563319,6050500,BULT,M21242,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,2,1,FALSE,1,0.0650037601590157,FALSE,TRUE
125194_ds_ed1a,Tributary To Missinka River,10,563319,6050500,RAIN,M21242,~/Projects/gis/sern_peace_fwcp_2023/data_field/2025/form_edna_2025.gpkg,FALSE,FALSE,FALSE,4,2,TRUE,3,0.212301820516586,FALSE,TRUE
