rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
5,198692,198692,,pscis_phase2.xlsm,Barrier,4,2.5,-0.5,Replace with New Open Bottom Structure,15
6,198669,198669,,pscis_phase2.xlsm,Barrier,3.5,8,5,Replace Structure with Streambed Simulation CBS,4.5
