source_file,date_time_original,model
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755465/20240904_155916_inlet.JPG,2024:09:04 15:57:52,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755465/TC_00004.JPG,2024:09:04 15:57:58,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755465/20240904_155837_barrel.JPG,2024:09:04 15:57:58,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755465/TC_00005.JPG,2024:09:04 15:58:16,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755465/20240904_155931_downstream.JPG,2024:09:04 15:58:16,iPhone 12 mini
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755467/IMG_5852.JPG,2024:09:04 16:17:57,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755467/20240904_164819_road.JPG,2024:09:04 16:17:57,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755467/IMG_5853.JPG,2024:09:04 16:18:20,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755467/20240904_164910_upstream.JPG,2024:09:04 16:18:20,iPhone 13 Pro Max
/Users/lucyschick/Library/CloudStorage/OneDrive-Personal/Projects/2024-073-sern-peace-fish-passage/data/photos/sorted/24755467/IMG_5854.JPG,2024:09:04 16:18:38,iPhone 13 Pro Max
